GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AR5AA
G0400090,1970,Arizona,4,40,Graham County,9,90,Graham,4325
G0400110,1970,Arizona,4,40,Greenlee County,11,110,Greenlee,3022
G0400130,1970,Arizona,4,40,Maricopa County,13,130,Maricopa,302633
G0400150,1970,Arizona,4,40,Mohave County,15,150,Mohave,8626
G0400170,1970,Arizona,4,40,Navajo County,17,170,Navajo,11278
G0400190,1970,Arizona,4,40,Pima County,19,190,Pima,110785
G0400210,1970,Arizona,4,40,Pinal County,21,210,Pinal,18096
G0400230,1970,Arizona,4,40,Santa Cruz County,23,230,Santa Cruz,3817
G0400250,1970,Arizona,4,40,Yavapai County,25,250,Yavapai,12999
G0400270,1970,Arizona,4,40,Yuma County,27,270,Yuma,17586
G0500010,1970,Arkansas,5,50,Arkansas County,1,10,Arkansas,7500
G0500030,1970,Arkansas,5,50,Ashley County,3,30,Ashley,7535
G0500050,1970,Arkansas,5,50,Baxter County,5,50,Baxter,5800
G0500070,1970,Arkansas,5,50,Benton County,7,70,Benton,16916
G0500090,1970,Arkansas,5,50,Boone County,9,90,Boone,6654
G0500110,1970,Arkansas,5,50,Bradley County,11,110,Bradley,4229
G0500130,1970,Arkansas,5,50,Calhoun County,13,130,Calhoun,1769
G0500150,1970,Arkansas,5,50,Carroll County,15,150,Carroll,4565
G0500170,1970,Arkansas,5,50,Chicot County,17,170,Chicot,5477
G0500190,1970,Arkansas,5,50,Clark County,19,190,Clark,6608
G0500210,1970,Arkansas,5,50,Clay County,21,210,Clay,6511
G0500230,1970,Arkansas,5,50,Cleburne County,23,230,Cleburne,3617
G0500250,1970,Arkansas,5,50,Cleveland County,25,250,Cleveland,2145
G0500270,1970,Arkansas,5,50,Columbia County,27,270,Columbia,8197
G0500290,1970,Arkansas,5,50,Conway County,29,290,Conway,5299
G0500310,1970,Arkansas,5,50,Craighead County,31,310,Craighead,16572
G0500330,1970,Arkansas,5,50,Crawford County,33,330,Crawford,8174
G0500350,1970,Arkansas,5,50,Crittenden County,35,350,Crittenden,13255
G0500370,1970,Arkansas,5,50,Cross County,37,370,Cross,5703
G0500390,1970,Arkansas,5,50,Dallas County,39,390,Dallas,3182
G0500410,1970,Arkansas,5,50,Desha County,41,410,Desha,5646
G0500430,1970,Arkansas,5,50,Drew County,43,430,Drew,4619
G0500450,1970,Arkansas,5,50,Faulkner County,45,450,Faulkner,9281
G0500470,1970,Arkansas,5,50,Franklin County,47,470,Franklin,3656
G0500490,1970,Arkansas,5,50,Fulton County,49,490,Fulton,2647
G0500510,1970,Arkansas,5,50,Garland County,51,510,Garland,20096
G0500530,1970,Arkansas,5,50,Grant County,53,530,Grant,3120
G0500550,1970,Arkansas,5,50,Greene County,55,550,Greene,8329
G0500570,1970,Arkansas,5,50,Hempstead County,57,570,Hempstead,6493
G0500590,1970,Arkansas,5,50,Hot Spring County,59,590,Hot Spring,7203
G0500610,1970,Arkansas,5,50,Howard County,61,610,Howard,3798
G0500630,1970,Arkansas,5,50,Independence County,63,630,Independence,7740
G0500650,1970,Arkansas,5,50,Izard County,65,650,Izard,2620
G0500670,1970,Arkansas,5,50,Jackson County,67,670,Jackson,6609
G0500690,1970,Arkansas,5,50,Jefferson County,69,690,Jefferson,25714
G0500710,1970,Arkansas,5,50,Johnson County,71,710,Johnson,4761
G0500730,1970,Arkansas,5,50,Lafayette County,73,730,Lafayette,3180
G0500750,1970,Arkansas,5,50,Lawrence County,75,750,Lawrence,5533
G0500770,1970,Arkansas,5,50,Lee County,77,770,Lee,5199
G0500790,1970,Arkansas,5,50,Lincoln County,79,790,Lincoln,3437
G0500810,1970,Arkansas,5,50,Little River County,81,810,Little River,3469
G0500830,1970,Arkansas,5,50,Logan County,83,830,Logan,5596
G0500850,1970,Arkansas,5,50,Lonoke County,85,850,Lonoke,8020
G0500870,1970,Arkansas,5,50,Madison County,87,870,Madison,3132
G0500890,1970,Arkansas,5,50,Marion County,89,890,Marion,2566
G0500910,1970,Arkansas,5,50,Miller County,91,910,Miller,10830
G0500930,1970,Arkansas,5,50,Mississippi County,93,930,Mississippi,18292
G0500950,1970,Arkansas,5,50,Monroe County,95,950,Monroe,4703
G0500970,1970,Arkansas,5,50,Montgomery County,97,970,Montgomery,2056
G0500990,1970,Arkansas,5,50,Nevada County,99,990,Nevada,3415
G0501010,1970,Arkansas,5,50,Newton County,101,1010,Newton,1890
G0501030,1970,Arkansas,5,50,Ouachita County,103,1030,Ouachita,9979
G0501050,1970,Arkansas,5,50,Perry County,105,1050,Perry,1854
G0501070,1970,Arkansas,5,50,Phillips County,107,1070,Phillips,11497
G0501090,1970,Arkansas,5,50,Pike County,109,1090,Pike,3012
G0501110,1970,Arkansas,5,50,Poinsett County,111,1110,Poinsett,8307
G0501130,1970,Arkansas,5,50,Polk County,113,1130,Polk,4673
G0501150,1970,Arkansas,5,50,Pope County,115,1150,Pope,9014
G0501170,1970,Arkansas,5,50,Prairie County,117,1170,Prairie,3280
G0501190,1970,Arkansas,5,50,Pulaski County,119,1190,Pulaski,92013
G0501210,1970,Arkansas,5,50,Randolph County,121,1210,Randolph,4265
G0501230,1970,Arkansas,5,50,St. Francis County,123,1230,St Francis,8543
G0501250,1970,Arkansas,5,50,Saline County,125,1250,Saline,10869
G0501270,1970,Arkansas,5,50,Scott County,127,1270,Scott,2778
G0501290,1970,Arkansas,5,50,Searcy County,129,1290,Searcy,2573
G0501310,1970,Arkansas,5,50,Sebastian County,131,1310,Sebastian,26570
G0501330,1970,Arkansas,5,50,Sevier County,133,1330,Sevier,3793
G0501350,1970,Arkansas,5,50,Sharp County,135,1350,Sharp,2936
G0501370,1970,Arkansas,5,50,Stone County,137,1370,Stone,2210
G0501390,1970,Arkansas,5,50,Union County,139,1390,Union,15145
G0501410,1970,Arkansas,5,50,Van Buren County,141,1410,Van Buren,2857
G0501430,1970,Arkansas,5,50,Washington County,143,1430,Washington,24791
G0501450,1970,Arkansas,5,50,White County,145,1450,White,12665
G0501470,1970,Arkansas,5,50,Woodruff County,147,1470,Woodruff,3717
G0501490,1970,Arkansas,5,50,Yell County,149,1490,Yell,4725
G0600010,1970,California,6,60,Alameda County,1,10,Alameda,365093
G0600030,1970,California,6,60,Alpine County,3,30,Alpine,178
G0600050,1970,California,6,60,Amador County,5,50,Amador,4024
G0600070,1970,California,6,60,Butte County,7,70,Butte,34910
G0600090,1970,California,6,60,Calaveras County,9,90,Calaveras,4709
G0600110,1970,California,6,60,Colusa County,11,110,Colusa,4136
G0600130,1970,California,6,60,Contra Costa County,13,130,Contra Costa,172951
G0600150,1970,California,6,60,Del Norte County,15,150,Del Norte,4707
G0600170,1970,California,6,60,El Dorado County,17,170,El Dorado,15031
G0600190,1970,California,6,60,Fresno County,19,190,Fresno,126752
G0600210,1970,California,6,60,Glenn County,21,210,Glenn,5723
G0600230,1970,California,6,60,Humboldt County,23,230,Humboldt,32383
G0600250,1970,California,6,60,Imperial County,25,250,Imperial,21030
G0600270,1970,California,6,60,Inyo County,27,270,Inyo,5536
G0600290,1970,California,6,60,Kern County,29,290,Kern,101650
G0600310,1970,California,6,60,Kings County,31,310,Kings,18293
G0600330,1970,California,6,60,Lake County,33,330,Lake,7679
G0600350,1970,California,6,60,Lassen County,35,350,Lassen,4994
G0600370,1970,California,6,60,Los Angeles County,37,370,Los Angeles,2431981
G0600390,1970,California,6,60,Madera County,39,390,Madera,12756
G0600410,1970,California,6,60,Marin County,41,410,Marin,67606
G0600430,1970,California,6,60,Mariposa County,43,430,Mariposa,2204
G0600450,1970,California,6,60,Mendocino County,45,450,Mendocino,16538
G0600470,1970,California,6,60,Merced County,47,470,Merced,30464
G0600490,1970,California,6,60,Modoc County,49,490,Modoc,2524
G0600510,1970,California,6,60,Mono County,51,510,Mono,1382
G0600530,1970,California,6,60,Monterey County,53,530,Monterey,71232
G0600550,1970,California,6,60,Napa County,55,550,Napa,25098
G0600570,1970,California,6,60,Nevada County,57,570,Nevada,9601
G0600590,1970,California,6,60,Orange County,59,590,Orange,436120
G0600610,1970,California,6,60,Placer County,61,610,Placer,24557
G0600630,1970,California,6,60,Plumas County,63,630,Plumas,4140
G0600650,1970,California,6,60,Riverside County,65,650,Riverside,150504
G0600670,1970,California,6,60,Sacramento County,67,670,Sacramento,202953
G0600690,1970,California,6,60,San Benito County,69,690,San Benito,5460
G0600710,1970,California,6,60,San Bernardino County,71,710,San Bernardino,212021
G0600730,1970,California,6,60,San Diego County,73,730,San Diego,423513
G0600750,1970,California,6,60,San Francisco County,75,750,San Francisco,295174
G0600770,1970,California,6,60,San Joaquin County,77,770,San Joaquin,92372
G0600790,1970,California,6,60,San Luis Obispo County,79,790,San Luis Obispo,33926
G0600810,1970,California,6,60,San Mateo County,81,810,San Mateo,185028
G0600830,1970,California,6,60,Santa Barbara County,83,830,Santa Barbara,83929
G0600850,1970,California,6,60,Santa Clara County,85,850,Santa Clara,322870
G0600870,1970,California,6,60,Santa Cruz County,87,870,Santa Cruz,44420
G0600890,1970,California,6,60,Shasta County,89,890,Shasta,25290
G0600910,1970,California,6,60,Sierra County,91,910,Sierra,884
G0600930,1970,California,6,60,Siskiyou County,93,930,Siskiyou,11273
G0600950,1970,California,6,60,Solano County,95,950,Solano,51120
G0600970,1970,California,6,60,Sonoma County,97,970,Sonoma,67861
G0600990,1970,California,6,60,Stanislaus County,99,990,Stanislaus,62100
G0601010,1970,California,6,60,Sutter County,101,1010,Sutter,13159
G0601030,1970,California,6,60,Tehama County,103,1030,Tehama,9567
G0601050,1970,California,6,60,Trinity County,105,1050,Trinity,2608
G0601070,1970,California,6,60,Tulare County,107,1070,Tulare,56490
G0601090,1970,California,6,60,Tuolumne County,109,1090,Tuolumne,7498
G0601110,1970,California,6,60,Ventura County,111,1110,Ventura,106469
G0601130,1970,California,6,60,Yolo County,113,1130,Yolo,28316
G0601150,1970,California,6,60,Yuba County,115,1150,Yuba,13074
G0800010,1970,Colorado,8,80,Adams County,1,10,Adams,50024
G0800030,1970,Colorado,8,80,Alamosa County,3,30,Alamosa,3285
G0800050,1970,Colorado,8,80,Arapahoe County,5,50,Arapahoe,47529
G0800070,1970,Colorado,8,80,Archuleta County,7,70,Archuleta,817
G0800090,1970,Colorado,8,80,Baca County,9,90,Baca,1938
G0800110,1970,Colorado,8,80,Bent County,11,110,Bent,1941
G0800130,1970,Colorado,8,80,Boulder County,13,130,Boulder,40854
G0800150,1970,Colorado,8,80,Chaffee County,15,150,Chaffee,3176
G0800170,1970,Colorado,8,80,Cheyenne County,17,170,Cheyenne,774
G0800190,1970,Colorado,8,80,Clear Creek County,19,190,Clear Creek,1625
G0800210,1970,Colorado,8,80,Conejos County,21,210,Conejos,1980
G0800230,1970,Colorado,8,80,Costilla County,23,230,Costilla,826
G0800250,1970,Colorado,8,80,Crowley County,25,250,Crowley,1083
G0800270,1970,Colorado,8,80,Custer County,27,270,Custer,411
G0800290,1970,Colorado,8,80,Delta County,29,290,Delta,5298
G0800310,1970,Colorado,8,80,Denver County,31,310,Denver,185331
G0800330,1970,Colorado,8,80,Dolores County,33,330,Dolores,500
G0800350,1970,Colorado,8,80,Douglas County,35,350,Douglas,2420
G0800370,1970,Colorado,8,80,Eagle County,37,370,Eagle,2302
G0800390,1970,Colorado,8,80,Elbert County,39,390,Elbert,1280
G0800410,1970,Colorado,8,80,El Paso County,41,410,El Paso,67581
G0800430,1970,Colorado,8,80,Fremont County,43,430,Fremont,7006
G0800450,1970,Colorado,8,80,Garfield County,45,450,Garfield,4923
G0800470,1970,Colorado,8,80,Gilpin County,47,470,Gilpin,469
G0800490,1970,Colorado,8,80,Grand County,49,490,Grand,1370
G0800510,1970,Colorado,8,80,Gunnison County,51,510,Gunnison,2215
G0800530,1970,Colorado,8,80,Hinsdale County,53,530,Hinsdale,80
G0800550,1970,Colorado,8,80,Huerfano County,55,550,Huerfano,2205
G0800570,1970,Colorado,8,80,Jackson County,57,570,Jackson,578
G0800590,1970,Colorado,8,80,Jefferson County,59,590,Jefferson,68322
G0800610,1970,Colorado,8,80,Kiowa County,61,610,Kiowa,686
G0800630,1970,Colorado,8,80,Kit Carson County,63,630,Kit Carson,2387
G0800650,1970,Colorado,8,80,Lake County,65,650,Lake,2443
G0800670,1970,Colorado,8,80,La Plata County,67,670,La Plata,5683
G0800690,1970,Colorado,8,80,Larimer County,69,690,Larimer,28183
G0800710,1970,Colorado,8,80,Las Animas County,71,710,Las Animas,5084
G0800730,1970,Colorado,8,80,Lincoln County,73,730,Lincoln,1605
G0800750,1970,Colorado,8,80,Logan County,75,750,Logan,5808
G0800770,1970,Colorado,8,80,Mesa County,77,770,Mesa,17640
G0800790,1970,Colorado,8,80,Mineral County,79,790,Mineral,254
G0800810,1970,Colorado,8,80,Moffat County,81,810,Moffat,2095
G0800830,1970,Colorado,8,80,Montezuma County,83,830,Montezuma,3965
G0800850,1970,Colorado,8,80,Montrose County,85,850,Montrose,5612
G0800870,1970,Colorado,8,80,Morgan County,87,870,Morgan,6300
G0800890,1970,Colorado,8,80,Otero County,89,890,Otero,7277
G0800910,1970,Colorado,8,80,Ouray County,91,910,Ouray,538
G0800930,1970,Colorado,8,80,Park County,93,930,Park,757
G0800950,1970,Colorado,8,80,Phillips County,95,950,Phillips,1471
G0800970,1970,Colorado,8,80,Pitkin County,97,970,Pitkin,2069
G0800990,1970,Colorado,8,80,Prowers County,99,990,Prowers,4151
G0801010,1970,Colorado,8,80,Pueblo County,101,1010,Pueblo,35373
G0801030,1970,Colorado,8,80,Rio Blanco County,103,1030,Rio Blanco,1474
G0801050,1970,Colorado,8,80,Rio Grande County,105,1050,Rio Grande,3070
G0801070,1970,Colorado,8,80,Routt County,107,1070,Routt,2159
G0801090,1970,Colorado,8,80,Saguache County,109,1090,Saguache,1134
G0801110,1970,Colorado,8,80,San Juan County,111,1110,San Juan,262
G0801130,1970,Colorado,8,80,San Miguel County,113,1130,San Miguel,630
G0801150,1970,Colorado,8,80,Sedgwick County,115,1150,Sedgwick,1161
G0801170,1970,Colorado,8,80,Summit County,117,1170,Summit,862
G0801190,1970,Colorado,8,80,Teller County,119,1190,Teller,1127
G0801210,1970,Colorado,8,80,Washington County,121,1210,Washington,1848
G0801230,1970,Colorado,8,80,Weld County,123,1230,Weld,26664
G0801250,1970,Colorado,8,80,Yuma County,125,1250,Yuma,3013
G0900010,1970,Connecticut,9,90,Fairfield County,1,10,Fairfield,243806
G0900030,1970,Connecticut,9,90,Hartford County,3,30,Hartford,255437
G0900050,1970,Connecticut,9,90,Litchfield County,5,50,Litchfield,45550
G0900070,1970,Connecticut,9,90,Middlesex County,7,70,Middlesex,34758
G0900090,1970,Connecticut,9,90,New Haven County,9,90,New Haven,231754
G0900110,1970,Connecticut,9,90,New London County,11,110,New London,67618
G0900130,1970,Connecticut,9,90,Tolland County,13,130,Tolland,27902
G0900150,1970,Connecticut,9,90,Windham County,15,150,Windham,26444
G1000010,1970,Delaware,10,100,Kent County,1,10,Kent,23368
G1000030,1970,Delaware,10,100,New Castle County,3,30,New Castle,115774
G1000050,1970,Delaware,10,100,Sussex County,5,50,Sussex,25662
G1200010,1970,Florida,12,120,Alachua County,1,10,Alachua,31115
G1200030,1970,Florida,12,120,Baker County,3,30,Baker,2229
G1200050,1970,Florida,12,120,Bay County,5,50,Bay,23403
G1200070,1970,Florida,12,120,Bradford County,7,70,Bradford,4058
G1200090,1970,Florida,12,120,Brevard County,9,90,Brevard,68560
G1200110,1970,Florida,12,120,Broward County,11,110,Broward,222563
G1200130,1970,Florida,12,120,Calhoun County,13,130,Calhoun,2393
G1200150,1970,Florida,12,120,Charlotte County,15,150,Charlotte,11668
G1200170,1970,Florida,12,120,Citrus County,17,170,Citrus,7358
G1200190,1970,Florida,12,120,Clay County,19,190,Clay,9396
G1200210,1970,Florida,12,120,Collier County,21,210,Collier,13012
G1200230,1970,Florida,12,120,Columbia County,23,230,Columbia,7669
G1200250,1970,Florida,12,120,Dade County,25,250,Dade,428026
G1200270,1970,Florida,12,120,DeSoto County,27,270,De Soto,3761
G1200290,1970,Florida,12,120,Dixie County,29,290,Dixie,1708
G1200310,1970,Florida,12,120,Duval County,31,310,Duval,161666
G1200330,1970,Florida,12,120,Escambia County,33,330,Escambia,60387
G1200350,1970,Florida,12,120,Flagler County,35,350,Flagler,1488
G1200370,1970,Florida,12,120,Franklin County,37,370,Franklin,2429
G1200390,1970,Florida,12,120,Gadsden County,39,390,Gadsden,9066
G1200410,1970,Florida,12,120,Gilchrist County,41,410,Gilchrist,1146
G1200430,1970,Florida,12,120,Glades County,43,430,Glades,1115
G1200450,1970,Florida,12,120,Gulf County,45,450,Gulf,3001
G1200470,1970,Florida,12,120,Hamilton County,47,470,Hamilton,2353
G1200490,1970,Florida,12,120,Hardee County,49,490,Hardee,4368
G1200510,1970,Florida,12,120,Hendry County,51,510,Hendry,3617
G1200530,1970,Florida,12,120,Hernando County,53,530,Hernando,6084
G1200550,1970,Florida,12,120,Highlands County,55,550,Highlands,10468
G1200570,1970,Florida,12,120,Hillsborough County,57,570,Hillsborough,158750
G1200590,1970,Florida,12,120,Holmes County,59,590,Holmes,3550
G1200610,1970,Florida,12,120,Indian River County,61,610,Indian River,12325
G1200630,1970,Florida,12,120,Jackson County,63,630,Jackson,10295
G1200650,1970,Florida,12,120,Jefferson County,65,650,Jefferson,2481
G1200670,1970,Florida,12,120,Lafayette County,67,670,Lafayette,955
G1200690,1970,Florida,12,120,Lake County,69,690,Lake,24621
G1200710,1970,Florida,12,120,Lee County,71,710,Lee,37313
G1200730,1970,Florida,12,120,Leon County,73,730,Leon,31022
G1200750,1970,Florida,12,120,Levy County,75,750,Levy,4175
G1200770,1970,Florida,12,120,Liberty County,77,770,Liberty,1064
G1200790,1970,Florida,12,120,Madison County,79,790,Madison,4000
G1200810,1970,Florida,12,120,Manatee County,81,810,Manatee,38488
G1200830,1970,Florida,12,120,Marion County,83,830,Marion,22317
G1200850,1970,Florida,12,120,Martin County,85,850,Martin,10122
G1200870,1970,Florida,12,120,Monroe County,87,870,Monroe,16827
G1200890,1970,Florida,12,120,Nassau County,89,890,Nassau,6018
G1200910,1970,Florida,12,120,Okaloosa County,91,910,Okaloosa,24915
G1200930,1970,Florida,12,120,Okeechobee County,93,930,Okeechobee,3178
G1200950,1970,Florida,12,120,Orange County,95,950,Orange,108645
G1200970,1970,Florida,12,120,Osceola County,97,970,Osceola,9092
G1200990,1970,Florida,12,120,Palm Beach County,99,990,Palm Beach,123347
G1201010,1970,Florida,12,120,Pasco County,101,1010,Pasco,30361
G1201030,1970,Florida,12,120,Pinellas County,103,1030,Pinellas,211301
G1201050,1970,Florida,12,120,Polk County,105,1050,Polk,73024
G1201070,1970,Florida,12,120,Putnam County,107,1070,Putnam,11494
G1201090,1970,Florida,12,120,St. Johns County,109,1090,St Johns,10004
G1201110,1970,Florida,12,120,St. Lucie County,111,1110,St Lucie,16847
G1201130,1970,Florida,12,120,Santa Rosa County,113,1130,Santa Rosa,10846
G1201150,1970,Florida,12,120,Sarasota County,115,1150,Sarasota,48634
G1201170,1970,Florida,12,120,Seminole County,117,1170,Seminole,25757
G1201190,1970,Florida,12,120,Sumter County,119,1190,Sumter,4627
G1201210,1970,Florida,12,120,Suwannee County,121,1210,Suwannee,4855
G1201230,1970,Florida,12,120,Taylor County,123,1230,Taylor,4227
G1201250,1970,Florida,12,120,Union County,125,1250,Union,1639
G1201270,1970,Florida,12,120,Volusia County,127,1270,Volusia,62747
G1201290,1970,Florida,12,120,Wakulla County,129,1290,Wakulla,1926
G1201310,1970,Florida,12,120,Walton County,131,1310,Walton,5270
G1201330,1970,Florida,12,120,Washington County,133,1330,Washington,3620
G1300010,1970,Georgia,13,130,Appling County,1,10,Appling,3632
G1300030,1970,Georgia,13,130,Atkinson County,3,30,Atkinson,1629
G1300050,1970,Georgia,13,130,Bacon County,5,50,Bacon,2424
G1300070,1970,Georgia,13,130,Baker County,7,70,Baker,1057
G1300090,1970,Georgia,13,130,Baldwin County,9,90,Baldwin,7083
